Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
112,PMR8,446.09375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
113,PMR8-01,446.09375,,0,TSQL,67,67,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
114,PMR8-02,446.09375,,0,TSQL,71.9,71.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
115,PMR8-03,446.09375,,0,TSQL,74.4,74.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
116,PMR8-04,446.09375,,0,TSQL,77,77,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
117,PMR8-05,446.09375,,0,TSQL,79.7,79.7,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
118,PMR8-06,446.09375,,0,TSQL,82.5,82.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
119,PMR8-07,446.09375,,0,TSQL,85.4,85.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
120,PMR8-08,446.09375,,0,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
121,PMR8-09,446.09375,,0,TSQL,91.5,91.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
122,PMR8-10,446.09375,,0,TSQL,94.8,94.8,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
123,PMR8-11,446.09375,,0,TSQL,97.4,97.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
124,PMR8-12,446.09375,,0,TSQL,100,100,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
125,PMR8-13,446.09375,,0,TSQL,103.5,103.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
126,PMR8-14,446.09375,,0,TSQL,107.2,107.2,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
127,PMR8-15,446.09375,,0,TSQL,110.9,110.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
